country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,10,7.58,44.9,1610,9.44,56.2,5.82,553
Albania,16.6,28,6.55,48.6,9930,4.49,76.3,1.65,4090
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460
Angola,119,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200
Argentina,14.5,18.9,8.1,16,18700,20.9,75.8,2.37,10300
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220
Australia,4.8,19.8,8.73,20.9,41400,1.16,82,1.93,51900
Austria,4.3,51.3,11,47.8,43200,0.873,80.5,1.44,46900
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840
Bahamas,13.8,35,7.89,43.7,22900,-0.393,73.8,1.86,28000
Bahrain,8.6,69.5,4.97,50.9,41100,7.44,76,2.16,20700
Bangladesh,49.4,16,3.52,21.8,2440,7.14,70.4,2.33,758
Barbados,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80,1.86,44400
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340
Benin,111,23.8,4.1,37.2,1820,0.885,61.8,5.36,758
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200
Brunei,10.5,67.4,2.84,28,80600,16.7,77.1,1.84,35300
Bulgaria,10.8,50.2,6.87,53,15300,1.11,73.9,1.57,6840
Burkina Faso,116,19.2,6.74,29.6,1430,6.81,57.9,5.87,575
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786
Cameroon,108,22.2,5.13,27,2660,1.91,57.3,5.11,1310
Canada,5.6,29.1,11.3,31,40700,2.87,81.3,1.63,47400
Cape Verde,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310
Central African Republic,149,11.8,3.98,26.5,888,2.01,47.5,5.21,446
Chad,150,36.8,4.53,43.5,1930,6.39,56.5,6.59,897
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250
Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769
"Congo, Dem. Rep.",116,41.1,7.91,49.6,609,20.8,57.5,6.54,334
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740
Costa Rica,10.2,33.2,10.9,35,13000,6.57,80.4,1.92,8200
Cote d'Ivoire,111,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800
Czech Republic,3.4,66,7.88,62.9,28300,-1.43,77.5,1.51,19800
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000
Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990
Equatorial Guinea,111,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482
Estonia,4.5,75.1,6.03,68.7,22700,1.74,76,1.72,14600
Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650
Finland,3,38.7,8.95,37.4,39800,0.351,80,1.87,46200
France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600
Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750
Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562
Georgia,16.5,35,10.1,52.8,6730,8.55,72.8,1.92,2960
Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800
Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310
Greece,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900
Grenada,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370
Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830
Guinea,109,30.3,4.93,43.2,1190,16.1,58,5.34,648
Guinea-Bissau,114,14.9,8.5,35.2,1390,2.97,55.6,5.05,547
Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040
Haiti,208,15.3,6.91,64.7,1500,5.45,32.1,3.33,662
Hungary,6,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100
Iceland,2.6,53.4,9.4,43.3,38800,5.47,82,2.2,41900
India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350
Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110
